"Wild.type.untreated.rep1"	"Wild.type.untreated.rep2"	"Wild.type.untreated.rep3"	"Wild.type.untreated.rep4"	"Wild.type.untreated.rep5"	"Wild.type.antibiotic.treated.rep1"	"Wild.type.antibiotic.treated.rep2"	"Wild.type.antibiotic.treated.rep3"	"Wild.type.antibiotic.treated.rep4"	"Wild.type.antibiotic.treated.rep5"
"CRADD"	5.626436	5.769505	5.764725	5.9601	5.837496	5.804631	5.945918	5.741466	5.891613	5.773238
"MFAP3L"	5.943981	5.936159	5.842354	6.118354	5.973689	6.24874	6.464636	6.088316	6.071522	6.08208
"PARL"	9.619238	9.727643	9.43385	9.321911	9.427949	10.115844	9.996942	9.786893	9.946952	9.924946
"CNTNAP4"	5.530457	5.643767	5.513572	5.524812	5.581772	5.405438	5.566899	5.562503	5.671282	5.549353
"MB21D2"	7.189017	7.137163	7.233693	7.446348	7.370214	7.742959	7.64411	7.502034	7.55002	7.418455
"ULK4"	9.098795	9.091185	9.27776	8.840412	9.112573	9.38084	8.668973	9.41501	9.006563	8.802217
"LMAN1"	7.537951	7.709872	8.688108	8.392671	7.981196	7.221938	6.967197	7.737638	7.50268	7.448318
"ZKSCAN5"	6.732615	6.766795	6.722208	6.799385	6.791497	6.885213	7.015658	6.822922	6.764429	7.076504
"PRAMEF8"	7.385035	7.29016	7.12373	7.183256	7.485936	7.443203	7.696544	7.168213	6.993297	7.755129
"GCC2"	7.393062	7.271052	7.583122	7.975211	7.544064	6.96429	6.86233	7.486336	6.956733	6.839426
"RFTN2"	6.141995	6.212943	5.792259	5.90769	6.213286	6.15137	6.031696	6.254349	6.209518	6.50383
"TAB3"	5.817823	6.127075	6.253404	6.35037	6.11965	6.110418	5.772344	6.065151	5.968357	5.978073
"ELAC2"	6.622584	6.619572	6.524331	6.516075	6.395353	6.475388	6.675356	6.439897	6.441653	6.512431
"FANK1"	5.562065	5.591689	5.503752	5.491557	5.543578	5.363929	5.493673	5.640098	5.492167	5.503586
"PTPN2"	5.682028	5.420428	5.64519	5.690314	5.691606	5.54943	5.56509	5.784451	5.480212	5.561978
"MAPK13"	11.01707	10.961135	10.69317	11.01133	10.828381	10.560816	10.750588	10.440251	10.509571	10.72272
"SNX33"	6.612891	6.423492	6.458663	6.662257	6.737525	6.598403	6.894956	6.896375	6.664778	6.76884
"GPR84"	5.57848	5.549891	5.472797	5.702545	5.678696	5.514516	5.639458	5.629416	5.57099	5.546904
"AMPD3"	7.458123	7.281409	7.435879	7.4697	7.30851	7.335861	7.299896	7.45439	7.326902	7.198487
"KRAS"	8.547345	8.513565	8.588163	8.593649	8.39753	8.346989	7.83778	8.308815	8.598519	8.284078
"RASEF"	6.687449	6.495301	6.974002	6.923718	7.225247	6.741872	6.281178	7.124154	6.856254	6.953337
