homologID	entrezHuman	symbHuman	entrezMouse	symbMouse
1	3	34	ACADM	11364	Acadm
2	5	37	ACADVL	11370	Acadvl
3	6	38	ACAT1	110446	Acat1
4	7	90	ACVR1	11477	Acvr1
5	9	6442	SGCA	20391	Sgca
6	12	158	ADSL	11564	Adsl
7	13	175	AGA	11593	Aga
8	14	183	AGT	11606	Agt
9	16	210	ALAD	17025	Alad
10	17	212	ALAS2	11656	Alas2
11	20	270	AMPD1	229665	Ampd1
12	26	350	APOH	11818	Apoh
13	27	355	FAS	14102	Fas
14	28	367	AR	11835	Ar
15	29	383	ARG1	11846	Arg1
16	32	435	ASL	109900	Asl
17	33	443	ASPA	11484	Aspa
18	35	538	ATP7A	11977	Atp7a
19	39	594	BCKDHB	12040	Bckdhb
20	41	675	BRCA2	12190	Brca2
21	44	710	SERPING1	12258	Serping1
22	45	717	C2	12263	C2
23	47	729	C6	12274	C6
24	48	732	C8B	110382	C8b
25	52	825	CAPN3	12335	Capn3
26	55	917	CD3G	12502	Cd3g
27	56	959	CD40LG	21947	Cd40lg
28	59	1134	CHRNA1	11435	Chrna1
29	60	1145	CHRNE	11448	Chrne
30	61	1130	LYST	17101	Lyst
31	62	1161	ERCC8	71991	Ercc8
32	63	1180	CLCN1	12723	Clcn1
33	65	1188	CLCNKB	12733	Clcnka
34	69	1278	COL1A2	12843	Col1a2
35	73	1294	COL7A1	12836	Col7a1
36	74	1311	COMP	12845	Comp
37	75	1356	CP	12870	Cp
38	76	1371	CPOX	12892	Cpox
39	77	1376	CPT2	12896	Cpt2
40	78	1471	CST3	13010	Cst3
41	79	1476	CSTB	13014	Cstb
42	80	1535	CYBA	13057	Cyba
43	83	1643	DDB2	107986	Ddb2
44	84	1738	DLD	13382	Dld
45	85	1806	DPYD	99586	Dpyd
46	88	1908	EDN3	13616	Edn3
47	89	1910	EDNRB	13618	Ednrb
48	91	2010	EMD	13726	Emd
49	92	2022	ENG	13805	Eng
50	93	2038	EPB42	13828	Epb4.2
51	94	2052	EPHX1	13849	Ephx1
52	95	2057	EPOR	13857	Epor
53	96	2071	ERCC3	13872	Ercc3
54	100	2108	ETFA	110842	Etfa
55	104	2153	F5	14067	F5
56	106	2158	F9	14071	F9
57	107	2169	FABP2	14079	Fabp2
58	108	2175	FANCA	14087	Fanca
59	109	2176	FANCC	14088	Fancc
60	110	2184	FAH	14085	Fah
61	112	2206	MS4A2	14126	Ms4a2
62	113	2235	FECH	14151	Fech
63	115	2271	FH	14194	Fh1
64	117	2492	FSHR	14309	Fshr
65	119	2519	FUCA2	66848	Fuca2
66	120	2523	FUT1	14343	Fut1
67	124	2581	GALC	14420	Galc
68	125	2584	GALK1	14635	Galk1
69	126	2592	GALT	14430	Galt
70	129	2632	GBE1	74185	Gbe1
71	130	2639	GCDH	270076	Gcdh
72	131	2642	GCGR	14527	Gcgr
73	132	2643	GCH1	14528	Gch1
74	134	2690	GHR	14600	Ghr
75	136	2697	GJA1	14609	Gja1
76	137	2705	GJB1	14618	Gjb1
77	139	2737	GLI3	14634	Gli3
78	141	2731	GLDC	104174	Gldc
79	142	8001	GLRA3	110304	Glra3
80	143	2811	GP1BA	14723	Gp1ba
81	144	2815	GP9	54368	Gp9
82	145	2821	GPI	14751	Gpi1
83	147	2934	GSN	227753	Gsn
84	148	2937	GSS	14854	Gss
85	149	2956	MSH6	17688	Msh6
86	152	3030	HADHA	97212	Hadha
87	153	3032	HADHB	231086	Hadhb
88	156	3081	HGD	15233	Hgd
89	158	3145	HMBS	15288	Hmbs
90	159	3155	HMGCL	15356	Hmgcl
91	160	6910	TBX5	21388	Tbx5
92	163	3257	HPS1	192236	Hps1
93	167	6448	SGSH	27029	Sgsh
94	168	3383	ICAM1	15894	Icam1
95	169	3423	IDS	15931	Ids
96	170	3425	IDUA	15932	Idua
97	171	3426	CFI	12630	Cfi
98	172	3561	IL2RG	16186	Il2rg
99	173	3630	INS	16334	Ins2
100	175	3651	PDX1	18609	Pdx1
101	179	3691	ITGB4	192897	Itgb4
102	180	182	JAG1	16449	Jag1
103	181	3718	JAK3	16453	Jak3
104	183	3736	KCNA1	16485	Kcna1
